fips,year,num_M,num_F
27053,2010,1,0
36119,2020,0,1
0634320,2016,1,0
48113,2012,1,0
26125,2016,1,0
48113,2018,0,1
12057,2018,1,0
29189,2004,1,0
53033,1990,1,0
13121,2016,0,0
42101,2003,1,0
48121,2020,1,0
NC-37,2018,0,0
12099,2004,1,0
25021,2016,1,0
48029,2016,1,0
24033,2018,1,0
37183,2016,1,0
24031,2018,1,0
26099,2004,1,0
37119,2018,1,0
06037,2016,1,0
25017,1994,1,0
06059,2002,1,0
12095,2012,1,0
17197,2012,1,0
48439,2000,1,0
37183,2016,0,0
26125,2012,1,0
4260000,2003,1,0
48029,2016,0,1
49035,2020,0,1
27053,2018,1,0
2400480,2020,0,1
48113,1996,1,0
NC-11,2018,0,0
12103,2020,0,1
0666000,2020,0,1
48453,2016,0,1
29189,2006,1,0
48113,2016,1,0
37183,2018,1,0
0634320,2008,1,0
06073,2018,1,0
12103,2020,1,0
1200180,2012,1,0
55025,2020,1,0
39035,2004,1,0
24031,2018,1,0
12103,2008,1,0
48201,2002,1,0
53053,2020,1,0
1201560,2020,0,1
53053,2016,1,0
26125,2008,1,0
48113,2000,1,0
0644000,1993,0,0
12057,2018,0,1
26099,2008,1,0
37119,2016,0,1
24031,2018,1,0
1200180,2020,1,0
12103,2020,0,1
GA-Stone Mountain,2016,0,0
37183,2018,0,1
39049,2016,1,0
4260000,2003,1,0
32003,2010,0,0
26125,2012,1,0
32003,2010,1,0
4260000,2003,1,0
29095,2020,1,0
12103,2020,1,0
12011,1992,1,0
34003,2020,0,1
17197,2020,1,0
26099,2020,1,0
12057,2018,0,1
48029,2008,1,0
37183,2018,0,1
06073,2010,1,0
39061,2004,1,0
3651000,2013,1,0
0644000,2001,1,0
37183,2018,1,0
27053,2018,1,0
53033,1994,1,0
39061,2008,1,0
12099,2020,1,0
53033,2001,1,0
13089,2008,1,0
13089,2008,1,0
24031,2018,1,0
36119,2016,1,0
29095,2008,1,0
37183,2018,1,0
25017,1992,1,0
27053,2018,1,0
FL-209,2012,0,0
55079,2014,1,0
26125,2008,0,1
12057,2008,1,0
29189,1994,1,0
06059,2014,0,0
39061,2012,1,0
53053,2012,1,0
20091,2020,1,0
39035,1996,0,1
12103,2012,1,0
24031,2018,1,0
0CO-4,2016,0,0
48029,2012,0,1
37183,2012,0,1
