fips,year,num_M,num_F
17043,2008,1,0
17043,2012,1,0
12057,2012,1,0
27053,2014,1,0
1200870,2020,0,1
FL-13,2016,0,0
53033,2017,0,1
54003,2012,0,1
39049,2020,1,0
48029,2020,1,0
53033,1993,1,0
FL-12 JUDICIAL CIRCUIT,2020,0,0
