"","fips","state","geo_name","population_2020","mass_ideology_2020","mass_ideology_2020_se","pres_pctD_20","pres_pctD_16","pres_pctD_08","percent_women","percent_white","percent_black","percent_hispanic","percent_asian_american","geo_type"
"823",47125,"Tennessee","Montgomery County",220069,0.120161570583601,0.0563913131308932,0.434937515905651,0.401535899333827,0.460109856685334,0.500704366070536,0.596603792446914,0.202522845107671,0.104212769631343,0.0281820701689016,"County"
"824",47141,"Tennessee","Putnam County",79854,0.343249106386164,0.0621881221365582,0.278806459446333,0.264998259389626,0.344920187046092,0.50588144150193,0.83630124978085,0.0274000050091417,0.0783429759310742,0.0143386680692263,"County"
"825",47145,"Tennessee","Roane County",53404,0.291852049425729,0.0622347709809733,0.239108930479167,0.233479750929189,0.314668483197094,0.507790861987753,0.900569245749382,0.0243989214291064,0.0189311662047787,0.00679724365216089,"County"
"826",47147,"Tennessee","Robertson County",72803,0.295186767600634,0.0639253242675962,0.26158661369929,0.254808615195608,0.340971413545697,0.505591918042117,0.783607818359134,0.0709860857382251,0.0944741288133731,0.00660687059599192,"County"
"827",47149,"Tennessee","Rutherford County",341486,0.108132583981658,0.0477021261825825,0.421393116083539,0.362632260104129,0.403180803571429,0.50738565299305,0.641882829749975,0.158065045126301,0.112206649760166,0.0374598080155555,"County"
"828",47155,"Tennessee","Sevier County",98380,0.343986593378181,0.0579262047587772,0.205180688876341,0.180295481875966,0.256636640219531,0.508643425227675,0.851809310835536,0.00825371010367961,0.0875584468387884,0.0116487090872128,"County"
"829",47157,"Tennessee","Shelby County",929744,-0.0807682877861151,0.0399635775778193,0.654673866780166,0.642388177146089,0.635441709982428,0.524939821054408,0.340674422206543,0.51338970727426,0.0835789206491249,0.03064607031613,"County"
"830",47163,"Tennessee","Sullivan County",158163,0.25851430046964,0.0512190327376806,0.236175682327846,0.211192638984502,0.290586111902726,0.513880929640242,0.906368746166929,0.0205737119300974,0.0224325537578321,0.00832685267730126,"County"
"831",47165,"Tennessee","Sumner County",196281,0.284808350051381,0.0578583288486114,0.303728575504203,0.265939376189779,0.321538841546252,0.511063743955691,0.790545187766518,0.0801911545182672,0.0655692603970838,0.0156663151298394,"County"
"832",47167,"Tennessee","Tipton County",60970,0.266737563576369,0.0608407303147104,0.254097446761066,0.254901960784314,0.316026458399745,0.50746171497388,0.736837789076595,0.178120387075611,0.0276529440708545,0.00710185337051009,"County"
"833",47179,"Tennessee","Washington County",133001,0.177127708130546,0.051116266421299,0.315459869334146,0.275488620018614,0.326369953382004,0.512655999374046,0.846655288306103,0.0422778776099428,0.0461349914662296,0.0155111615702138,"County"
"834",47187,"Tennessee","Williamson County",247726,0.0975913086974142,0.0498574546201947,0.367130205664934,0.312552280171328,0.300677132752523,0.510881187635599,0.808990578300219,0.0398666268377159,0.057567635209869,0.0527599040875806,"County"
"835",47189,"Tennessee","Wilson County",147737,0.164712042153744,0.0583288465804419,0.306740179186768,0.267423918499377,0.314692656643093,0.508253698798531,0.804734088278495,0.0689806886561931,0.0566885749676791,0.0213216729729181,"County"
"836",48001,"Texas","Anderson County",57922,0.408869250512713,0.0805530750815249,0.207448203514293,0.203257918552036,0.280616579682,0.391091506659747,0.571423638686509,0.199872241980595,0.191826939677497,0.00699216187286351,"County"
"837",48005,"Texas","Angelina County",86395,0.302637213361656,0.0625176129833568,0.267190741985447,0.25811532666758,0.323948041180128,0.512081720528618,0.578389953122287,0.151605995717345,0.228392846808264,0.0111233288963482,"County"
"838",48021,"Texas","Bastrop County",97216,0.193230483398366,0.0618256673004635,0.429952764656849,0.392943450942484,0.458410206084396,0.493504649677007,0.470611833443055,0.059239219881501,0.426719881500987,0.00863026662277814,"County"
"839",48027,"Texas","Bell County",370647,0.145012013735451,0.0439239328758429,0.456451599990393,0.420951235537144,0.450761251463945,0.501290974082978,0.422990068717675,0.229978928738126,0.252172552320672,0.0410903096477241,"County"
"840",48029,"Texas","Bexar County",2009324,-0.0549898667810342,0.0376385964967371,0.592352094258127,0.570744244779713,0.528029789077083,0.506269065152703,0.266623003557415,0.080279238191551,0.592715759130932,0.0359444270809486,"County"
"841",48037,"Texas","Bowie County",92893,0.249918103858928,0.0587909848834563,0.283839104138605,0.261705784732101,0.309156481667001,0.497070887729858,0.601283196796314,0.2502987307978,0.0818360909864037,0.0126812569300163,"County"
"842",48039,"Texas","Brazoria County",372031,0.135777605486974,0.0483233658393362,0.407622116978141,0.372442689519014,0.35078609548536,0.494470121466021,0.434998696345197,0.14831022146004,0.309656990949679,0.0719698089675323,"County"
"843",48041,"Texas","Brazos County",233849,0.114955219066462,0.0532747495199589,0.426513350788499,0.373783425485821,0.353683992616489,0.494894183809383,0.52613010960064,0.104088535764532,0.269691125469854,0.0641268510876677,"County"
"844",48061,"Texas","Cameron County",421017,-0.0440851290065422,0.0462929903467872,0.566452982006278,0.668375567599238,0.6451011962582,0.513956543804812,0.0881365835583836,0.00493091727887472,0.894690713201605,0.00701871895909191,"County"
"845",48073,"Texas","Cherokee County",50412,0.355042257581876,0.0746740977874802,0.218010460359381,0.211679277520137,0.282735357252377,0.489869143098354,0.596980877568833,0.127469650083313,0.234011743235738,0.00557406966595255,"County"
"846",48085,"Texas","Collin County",1064465,0.0325265826124964,0.0405028294370981,0.47788678214554,0.411616974692511,0.370978825898811,0.508046904598363,0.509619386264461,0.103605097396345,0.158913632669933,0.178425781965588,"County"
"847",48091,"Texas","Comal County",161501,0.257471778499081,0.0568672635735496,0.283511865335861,0.239801933506249,0.260059643817204,0.505937504412533,0.651698751091324,0.0240246190426065,0.269905449501861,0.0132568838583043,"County"
